23:45:50: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 49] Logger initialized
23:45:50: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 62] Command Created YAY!
23:45:50: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.00, 0.00, 4.00)
23:45:50: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 109] CHANGE ALTITUDE: 1.00
23:45:50: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.00, 0.00, 1.00)
23:45:50: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 109] CHANGE ALTITUDE: -1.00
23:45:51: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.00, 0.00, 0.67)
23:45:51: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.00, 0.00, 0.50)
23:45:52: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.00, 0.00, 0.40)
23:45:52: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.00, 0.00, 0.33)
23:45:53: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.00, 0.00, 0.29)
23:45:53: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.00, 2.50, 0.25)
23:45:54: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.00, 4.44, 0.22)
23:45:54: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.00, 6.00, 0.20)
23:45:55: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (1.82, 5.45, 0.18)
23:45:55: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (3.33, 5.00, 0.17)
23:45:56: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (4.62, 4.62, 0.15)
23:45:56: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (4.29, 2.86, 0.14)
23:45:57: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (4.00, 1.33, 0.13)
23:45:57: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (3.75, 0.00, 0.12)
23:45:58: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (2.35, 0.00, 0.12)
23:45:58: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (1.11, 0.00, 0.11)
23:45:59: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.00, 0.00, 0.11)
23:45:59: [INFO] [C:\Users\Dell\Documents\AutoBootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity so far: (0.00, 1.00, 0.10)
